Application_Date,Month,Company,Role,Platform,Location,Response Status,Job Type
14/07/2025,July,Accenture,Data Analyst,Career Website,Mumbai,Rejected,Entry-Level
14/07/2025,July,Varite INC,Business Analyst,Indeed,Bengaluru,Rejected,Fresher
14/07/2025,July,Tech Mahindra,Business Associates,Indeed,Pune,Ghosted,Entry-Level
11/7/2025,July,db Logic,HR Recruiter,Indeed,Pune,Ghosted,Fresher
11/7/2025,July,NuStar Technologies,Database Engineer ,Indeed,Pune,Ghosted,Internship
10/7/2025,July,MUFG,Data Analyst,Indeed,Pune,Ghosted,Experienced
10/7/2025,July,Credit Saison,Mis Executive,Indeed,Pune,Applied,Entry-Level
9/7/2025,July,Pretium Enterprise Services,Mis Executive,Indeed,Pune,Applied,Fresher
8/7/2025,July,Joveo,Mis Executive,Indeed,Bengaluru,Applied,Internship
8/7/2025,July,Wipro,Analyst,Naukri,Bengaluru,Applied,Entry-Level
8/7/2025,July,HCLTech,Data Analyst,LinkedIn,Bengaluru,Applied,Fresher
7/7/2025,July,Accenture,Data Analyst,Naukri,Pune,Applied,Entry-Level
4/7/2025,July,HCLTech,Data Analyst,Career Website,Pune,Applied,Fresher
21/08/2025,August,DraconX,Analyst,Naukri,Pune,Applied,Internship
20/08/2025,August,Pacific Consultancy Services,Analyst,Indeed,Pune,Applied,Entry-Level
20/08/2025,August,Apna Mart,Software Developer,Indeed,Mumbai,Rejected,Experienced
20/08/2025,August,VOIS,Data Analyst,Naukri,Pune,Interview,Fresher
20/08/2025,August,Amber ,Data Analyst,LinkedIn,Mumbai,Applied,Entry-Level
19/08/2025,August,Innover Digital,Analyst,Naukri,Pune,Applied,Internship
19/08/2025,August,Simplify Healthcare,Software Developer,Career Website,Bengaluru,Applied,Fresher
19/08/2025,August,Pagar Book,Data Analyst,Naukri,Mumbai,Applied,Entry-Level
18/08/2025,August,Kindred,Junior Data Analyst,Indeed,Mumbai,Applied,Fresher
18/08/2025,August,Sonata Software,Business Data Analyst,Indeed,Mumbai,Applied,Internship
18/08/2025,August,Tech Mahindra,Data Analytics Intern,Naukri,Mumbai,Applied,Entry-Level
14/08/2025,August,Amber,Data Analytics Trainee,LinkedIn,Bengaluru,Applied,Fresher
14/08/2025,August,HCLTech,SQL Data Analyst,Naukri,Hyderabad,Applied,Experienced
14/08/2025,August,LogixHealth,Excel Data Analyst,Career Website,Pune,Applied,Entry-Level
13/08/2025,August,Zethetha Algorithms,Power BI Analyst,Naukri,Mumbai,Applied,Fresher
13/08/2025,August,Arcana,Python Data Analyst,Naukri,Pune,Applied,Internship
13/08/2025,August,Esync Technologies,Data Analytics Executive,Career Website,Mumbai,Applied,Entry-Level
12/8/2025,August,Digital Farishtha,Data Analytics Intern,Naukri,Pune,Applied,Fresher
12/8/2025,August,MUFG,Business Intelligence Analyst,Indeed,Bengaluru,Applied,Entry-Level
11/8/2025,August,ALIQAN Technolgies,Tableau Analyst,Naukri,Mumbai,Applied,Fresher
11/8/2025,August,Appzime Technologies,Junior BI Analyst,LinkedIn,Mumbai,Applied,Internship
8/8/2025,August,INtegra Connect,Marketing Data Analyst,Naukri,Mumbai,Applied,Entry-Level
8/8/2025,August,Eversana,Operations Data Analyst,Naukri,Mumbai,Applied,Fresher
8/8/2025,August,QpiAI,Python Data Analyst,LinkedIn,Bengaluru,Applied,Experienced
7/8/2025,August,Monk Mantra,SQL Data Analyst,LinkedIn,Hyderabad,Applied,Entry-Level
7/8/2025,August,Deloitte,Data Analyst,LinkedIn,Mumbai,Applied,Internship
6/8/2025,August,Crypto Chakra,Data Analyst,LinkedIn,Mumbai,Applied,Fresher
6/8/2025,August,Tech Mahindra,Data Engineer,LinkedIn,Mumbai,Applied,Entry-Level
5/8/2025,August,Upgrade Inc,Data Analyst,LinkedIn,Mumbai,Applied,Fresher
5/8/2025,August,NuFolks,Data Analyst,LinkedIn,Bengaluru,Applied,Internship
4/8/2025,August,Eversana,Data Analyst,LinkedIn,Hyderabad,Applied,Entry-Level
4/8/2025,August,Bhanzu,Test Analyst,Indeed,Pune,Rejected ,Fresher
1/8/2025,August,Qrinson Technologies,Analyst,Naukri,Mumbai,Rejected ,Entry-Level
30/08/2025,August,Cyborgwave,Analyst,LinkedIn,Pune,Rejected ,Experienced
30/08/2025,August,Laxmi Technologies,Analyst,Naukri,Mumbai,Applied,Fresher
29/08/2025,August,Spraquick Services,Data Analyst,Naukri,Pune,Applied,Internship
29/08/2025,August,Rubrik,Data Analyst,Naukri,Bengaluru,Applied,Entry-Level
29/08/2025,August,MetroStar,Data Analyst,Indeed,Mumbai,Rejected ,Fresher
28/08/2025,August,Agratas,Data Analyst,Naukri,Bengaluru,Rejected ,Entry-Level
28/08/2025,August,NTT DATA,Data Engineer,LinkedIn,Hyderabad,Applied,Fresher
27/08/2025,August,Cummins,Software Developer,Naukri,Hyderabad,Applied,Internship
27/08/2025,August,NTT DATA,Data Analyst,Naukri,Hyderabad,Rejected ,Entry-Level
27/08/2025,August,NTT DATA,Data Analyst,LinkedIn,Bengaluru,Rejected ,Fresher
26/08/2025,August,Barclays,Analyst,LinkedIn,Noida,Rejected ,Entry-Level
26/08/2025,August,Blue Matter,Analyst,LinkedIn,Noida,Applied,Fresher
25/08/2025,August,Boston Consulting Group (BCG),Software Developer,LinkedIn,Pune,Applied,Internship
25/08/2025,August,Coforge,Data Analyst,LinkedIn,Pune,Applied,Fresher
22/08/2025,August,Crisil,Data Analyst,LinkedIn,Pune,Rejected ,Experienced
22/08/2025,August,CrowdStrike,Analyst,LinkedIn,Pune,Rejected ,Fresher
21/08/2025,August,Honeywell,Software Developer,LinkedIn,Noida,Applied,Entry-Level
21/08/2025,August,Tata TCS,Data Analyst,Naukri,Mumbai,Applied,Entry-Level
20/08/2025,August,KPMG,Junior Data Analyst,LinkedIn,Bengaluru,Applied,Fresher
20/08/2025,August,CloudWave,Business Data Analyst,LinkedIn,Hyderabad,Applied,Fresher
20/08/2025,August,AIQube,Data Analytics Intern,Career Website,Pune,Applied,Internship
19/08/2025,August,PayBridge,Data Analytics Trainee,Indeed,Noida,Applied,Internship
19/08/2025,August,InstaLearn,SQL Data Analyst,Naukri,Mumbai,Applied,Entry-Level
18/08/2025,August,HealthPulse,Excel Data Analyst,LinkedIn,Mumbai,Rejected,Internship
18/08/2025,August,QuickShift,Power BI Analyst,LinkedIn,Bengaluru,Rejected,Fresher
14/08/2025,August,Worklytics,Python Data Analyst,Career Website,Hyderabad,Rejected,Entry-Level
14/08/2025,August,OptiFleet,Data Analytics Executive,LinkedIn,Pune,Rejected,Fresher
13/08/2025,August,NeuroSoft,Data Analytics Intern,LinkedIn,Mumbai,Ghosted,Entry-Level
13/08/2025,August,KPMG,Business Intelligence Analyst,Indeed,Bengaluru,Ghosted,Fresher
12/8/2025,August,SmartLedger,Tableau Analyst,Naukri,Mumbai,Ghosted,Entry-Level
12/8/2025,August,CodeForge,Junior BI Analyst,LinkedIn,Pune,Ghosted,Internship
11/8/2025,August,TaskHive,Marketing Data Analyst,LinkedIn,Pune,Applied,Fresher
11/8/2025,August,UrbanLogic,Operations Data Analyst,Career Website,Hyderabad,Applied,Fresher
8/8/2025,August,KPMG,Python Data Analyst,Career Website,Mumbai,Applied,Entry-Level
8/8/2025,August,Tata TCS,SQL Data Analyst,Naukri,Bengaluru,Applied,Fresher
7/8/2025,August,Foodify,Business Data Analyst,LinkedIn,Bengaluru,Applied,Fresher
7/8/2025,August,TravelNest,Data Analytics Trainee,Indeed,Mumbai,Applied,Internship
6/8/2025,August,ByteCraft,Excel Data Analyst,Indeed,Hyderabad,Applied,Internship
5/8/2025,August,DataVista,Data Analytics Executive,LinkedIn,Pune,Applied,Entry-Level
5/8/2025,August,RoboSolve,Junior Data Analyst,LinkedIn,Mumbai,Applied,Internship
4/8/2025,August,LogiChain,Data Analyst,Naukri,Bengaluru,Rejected,Fresher
4/8/2025,August,SkillMatrix,Data Analytics Intern,LinkedIn,Hyderabad,Rejected,Entry-Level
1/8/2025,August,CurePath,Power BI Analyst,Career Website,Mumbai,Ghosted,Fresher
1/8/2025,August,Shopzy,Business Intelligence Analyst,LinkedIn,Mumbai,Ghosted,Entry-Level
18/08/2025,August,FleetEdge,Data Analytics Trainee,LinkedIn,Pune,Ghosted,Fresher
19/08/2025,August,MindLabs,Tableau Analyst,LinkedIn,Bengaluru,Ghosted,Entry-Level
20/08/2025,August,SecurePay,Operations Data Analyst,Naukri,Mumbai,Applied,Internship
8/9/2025,September,RetailGenie,Marketing Data Analyst,Indeed,Hyderabad,Applied,Fresher
8/9/2025,September,Tata TCS,Python Data Analyst,LinkedIn,Hyderabad,Applied,Entry-Level
5/9/2025,September,Barclays,SQL Data Analyst,Career Website,Pune,Applied,Fresher
5/9/2025,September,LearnSphere,Excel Data Analyst,LinkedIn,Mumbai,Applied,Internship
4/9/2025,September,AutoSense,Junior BI Analyst,LinkedIn,Bengaluru,Applied,Entry-Level
4/9/2025,September,Medilink,Data Analytics Intern,Naukri,Pune,Applied,Fresher
3/9/2025,September,TalentCraft,Data Analyst,LinkedIn,Noida,Applied,Entry-Level
3/9/2025,September,EcoSoft,Business Data Analyst,Career Website,Mumbai,Applied,Experienced
2/9/2025,September,Infosys,Power BI Analyst,Indeed,Hyderabad,Applied,Fresher
2/9/2025,September,Accenture,Python Data Analyst,Indeed,Bengaluru,Applied,Internship
1/9/2025,September,ShopEase,Data Analytics Executive,LinkedIn,Mumbai,Applied,Entry-Level
30/09/2025,September,HealthByte,SQL Data Analyst,Naukri,Pune,Applied,Fresher
30/09/2025,September,KPMG,Tableau Analyst,LinkedIn,Bengaluru,Applied,Entry-Level
29/09/2025,September,UrbanPulse,Business Intelligence Analyst,Career Website,Hyderabad,Applied,Fresher
29/09/2025,September,NeoSoft,Data Analytics Intern,LinkedIn,Mumbai,Applied,Internship
26/09/2025,September,PayMate,Excel Data Analyst,LinkedIn,Pune,Applied,Entry-Level
26/09/2025,September,Tata TCS,Junior Data Analyst,Career Website,Mumbai,Applied,Fresher
25/09/2025,September,CodeLabs,Marketing Data Analyst,Indeed,Bengaluru,Applied,Entry-Level
25/09/2025,September,QuickFleet,Data Analytics Trainee,LinkedIn,Bengaluru,Applied,Fresher
24/09/2025,September,KPMG,Data Analyst,Naukri,Noida,Applied,Internship
24/09/2025,September,AIHealth,Business Data Analyst,Career Website,Hyderabad,Applied,Entry-Level
23/09/2025,September,SmartFleet,Python Data Analyst,LinkedIn,Mumbai,Applied,Experienced
23/09/2025,September,TaskFlow,Operations Data Analyst,Career Website,Pune,Rejected ,Fresher
22/09/2025,September,NeuroTrack,Power BI Analyst,Indeed,Bengaluru,Rejected ,Entry-Level
22/09/2025,September,DataSphere,Data Analytics Intern,LinkedIn,Mumbai,Rejected ,Internship
19/09/2025,September,RoboByte,SQL Data Analyst,LinkedIn,Mumbai,Applied,Fresher
19/09/2025,September,FleetLink,Tableau Analyst,Naukri,Noida,Applied,Entry-Level
18/09/2025,September,SkillUp,Data Analytics Executive,LinkedIn,Noida,Applied,Fresher
18/09/2025,September,CureGenie,Excel Data Analyst,LinkedIn,Noida,Rejected ,Internship
17/09/2025,September,Austere Systems,Junior BI Analyst,Career Website,Noida,Rejected ,Entry-Level
17/09/2025,September,Fusion Technologies,Business Intelligence Analyst,Career Website,Pune,Applied,Fresher
16/09/2025,September,Zensar Technologies,Data Analytics Trainee,Indeed,Pune,Applied,Entry-Level
16/09/2025,September,ABS Techsoft,Marketing Data Analyst,LinkedIn,Pune,Rejected ,Experienced
15/09/2025,September,Renentech Labs,Python Data Analyst,LinkedIn,Pune,Rejected ,Fresher
15/09/2025,September,Keshrup Systems,Data Analytics Intern,Naukri,Noida,Rejected ,Internship
12/9/2025,September,Tata TCS,Data Analyst,LinkedIn,Noida,Applied,Entry-Level
12/9/2025,September,AVA Technology,Junior Data Analyst,Career Website,Hyderabad,Applied,Fresher
11/9/2025,September,EY,Business Data Analyst,LinkedIn,Mumbai,Applied,Entry-Level
11/9/2025,September,KPMG,Power BI Analyst,LinkedIn,Pune,Rejected ,Fresher
10/9/2025,September,PWC,SQL Data Analyst,Naukri,Mumbai,Rejected ,Internship
10/9/2025,September,Vibry Business Solutions,Excel Data Analyst,Career Website,Bengaluru,Applied,Entry-Level
9/9/2025,September,EY,Operations Data Analyst,Career Website,Hyderabad,Applied,Fresher
8/9/2025,September,Asteria Aerospace,Data Analytics Trainee,Career Website,Mumbai,Applied,Entry-Level
5/9/2025,September,EY,Data Analytics Executive,Career Website,Noida,Applied,Fresher
4/9/2025,September,Aptech Ltd,Tableau Analyst,Career Website,Pune,Applied,Internship
3/9/2025,September,Sparta Systems,Business Intelligence Analyst,LinkedIn,Bengaluru,Applied,Experienced
2/9/2025,September,Intelli Services,Python Data Analyst,Naukri,Mumbai,Applied,Entry-Level
31/10/2025,October,Rock Solid Solutions,Marketing Data Analyst,Indeed,Hyderabad,Rejected ,Fresher
31/10/2025,October,Futops,Data Analytics Intern,Career Website,Pune,Rejected ,Internship
30/10/2025,October,Techalpha Messaging ,Junior Data Analyst,LinkedIn,Mumbai,Rejected ,Entry-Level
30/10/2025,October,eClerx,Data Analyst,LinkedIn,Mumbai,Applied,Fresher
29/10/2025,October,Acko,Excel Data Analyst,Naukri,Bengaluru,Applied,Entry-Level
29/10/2025,October,Wipro,SQL Data Analyst,Indeed,Hyderabad,Applied,Fresher
28/10/2025,October,Wipro,Business Data Analyst,LinkedIn,Pune,Rejected ,Internship
28/10/2025,October,Infosys,Power BI Analyst,Career Website,Mumbai,Rejected ,Entry-Level
27/10/2025,October,Accenture,Operations Data Analyst,LinkedIn,Bengaluru,Applied,Experienced
27/10/2025,October,UniScope,Python Data Analyst,LinkedIn,Mumbai,Applied,Fresher
24/10/2025,October,Aetherlytics,Data Analytics Trainee,Naukri,Hyderabad,Rejected ,Entry-Level
24/10/2025,October,Aetherlytics,Data Analytics Executive,Indeed,Pune,Rejected ,Internship
23/10/2025,October,SkillGenie,Tableau Analyst,LinkedIn,Bengaluru,Rejected ,Fresher
23/10/2025,October,CureLink,Business Intelligence Analyst,Career Website,Bengaluru,Applied,Entry-Level
22/10/2025,October,ShopLogic,Junior BI Analyst,Indeed,Bengaluru,Applied,Fresher
22/10/2025,October,MindQuick,Marketing Data Analyst,LinkedIn,Bengaluru,Applied,Internship
21/10/2025,October,SecureSphere,Analyst,Naukri,Noida,Rejected ,Entry-Level
21/10/2025,October,RetailLink,Data Analyst,LinkedIn,Pune,Rejected ,Fresher
20/10/2025,October,TechQuick,Data Analyst,LinkedIn,Mumbai,Applied,Experienced
20/10/2025,October,AgriNest,Data Analyst,Career Website,Bengaluru,Applied,Entry-Level
17/10/2025,October,LearnTrack,Analyst,LinkedIn,Pune,Applied,Fresher
17/10/2025,October,Tata TCS,Analyst,Indeed,Pune,Applied,Internship
16/10/2025,October,MediQuick,Software Developer,LinkedIn,Pune,Applied,Entry-Level
16/10/2025,October,TalentLink,Data Analyst,Work India,Pune,Rejected,Fresher
15/10/2025,October,EcoTrack,Data Analyst,LinkedIn,Pune,Interview,Entry-Level
15/10/2025,October,BuildNest,Analyst,LinkedIn,Pune,Applied,Fresher
14/10/2025,October,LoanTrack,Software Developer,Work India,Mumbai,Applied,Internship
13/10/2025,October,ShopGenie,Data Analyst,Work India,Bengaluru,Applied,Entry-Level
10/10/2025,October,Tata TCS,Junior Data Analyst,Naukri,Mumbai,Applied,Fresher
9/10/2025,October,Zoho,Business Data Analyst,Work India,Pune,Applied,Experienced
8/10/2025,October,EY,Data Analytics Intern,Naukri,Hyderabad,Applied,Entry-Level
7/10/2025,October,InMobi,Data Analytics Trainee,Work India,Hyderabad,Applied,Internship
30/11/2025,November,Coforge,SQL Data Analyst,Work India,Bengaluru,Applied,Fresher
30/11/2025,November,Persistent Systems,Excel Data Analyst,Work India,Noida,Applied,Entry-Level
29/11/2025,November,Birlasoft,Junior Data Analyst,LinkedIn,Noida,Applied,Fresher
29/11/2025,November,Mphasis,Business Data Analyst,Naukri,Pune,Applied,Internship
28/11/2025,November,MindQuick,Data Analytics Intern,Work India,Pune,Applied,Entry-Level
28/11/2025,November,SecureSphere,Data Analytics Trainee,LinkedIn,Pune,Applied,Fresher
27/11/2025,November,RetailLink,SQL Data Analyst,Career Website,Pune,Applied,Entry-Level
27/11/2025,November,TechQuick,Excel Data Analyst,Career Website,Noida,Rejected ,Experienced
27/11/2025,November,AgriNest,Data Analytics Executive,Naukri,Mumbai,Ghosted,Fresher
26/11/2025,November,LearnTrack,Tableau Analyst,LinkedIn,Bengaluru,Ghosted,Internship
26/11/2025,November,AutoGenie,Business Intelligence Analyst,Indeed,Hyderabad,Interview,Entry-Level
26/11/2025,November,MediQuick,Python Data Analyst,Work India,Pune,Ghosted,Fresher
25/11/2025,November,TalentLink,Marketing Data Analyst,LinkedIn,Noida,Applied,Entry-Level
25/11/2025,November,EcoTrack,Data Analytics Intern,Work India,Mumbai,Ghosted,Fresher
25/11/2025,November,BuildNest,Junior Data Analyst,Naukri,Mumbai,Applied,Internship
24/11/2025,November,KPMG,Data Analyst,LinkedIn,Bengaluru,Applied,Entry-Level
24/11/2025,November,MobiKwik,Excel Data Analyst,Career Website,Hyderabad,Applied,Fresher
21/11/2025,November,Icertis,SQL Data Analyst,LinkedIn,Pune,Applied,Entry-Level
21/11/2025,November,EXL Services,Business Data Analyst,LinkedIn,Mumbai,Applied,Fresher
21/11/2025,November,Mu Sigma,Power BI Analyst,LinkedIn,Bengaluru,Interview,Internship
20/11/2025,November,Rubrik India,Operations Data Analyst,Work India,Mumbai,Ghosted,Fresher
20/11/2025,November,Wipro,Analyst,Work India,Pune,Ghosted,Experienced
20/11/2025,November,Tavant,Software Developer,Work India,Pune,Ghosted,Fresher
19/11/2025,November,FusionCharts,Data Analyst,Career Website,Hyderabad,Ghosted,Entry-Level
19/11/2025,November,Druva,Junior Data Analyst,Indeed,Mumbai,Applied,Entry-Level
18/11/2025,November,Innoviti,Business Data Analyst,LinkedIn,Bengaluru,Applied,Fresher
18/11/2025,November,Netcore Solutions,Data Analytics Intern,Naukri,Bengaluru,Applied,Fresher
18/11/2025,November,Searce,Data Analytics Trainee,LinkedIn,Mumbai,Rejected,Internship
17/11/2025,November,Highradius,SQL Data Analyst,LinkedIn,Hyderabad,Rejected,Internship
17/11/2025,November,Razorpay,Excel Data Analyst,Naukri,Pune,Applied,Entry-Level
14/11/2025,November,Simplilearn,Data Analytics Executive,LinkedIn,Mumbai,Applied,Internship
14/11/2025,November,Capillary Technologies,Tableau Analyst,Career Website,Bengaluru,Rejected,Fresher
14/11/2025,November,Goibibo,Business Intelligence Analyst,LinkedIn,Hyderabad,Interview,Entry-Level
13/11/2025,November,CitiusTech,Python Data Analyst,LinkedIn,Mumbai,Applied,Fresher
13/11/2025,November,Uniphore,Marketing Data Analyst,Naukri,Mumbai,Applied,Entry-Level
12/11/2025,November,Delhivery,Data Analytics Intern,Indeed,Pune,Applied,Fresher
12/11/2025,November,UpGrad,Junior Data Analyst,LinkedIn,Bengaluru,Applied,Entry-Level
12/11/2025,November,Wipro,Data Analyst,Work India,Mumbai,Applied,Internship
11/11/2025,November,Info Edge,Excel Data Analyst,LinkedIn,Hyderabad,Applied,Entry-Level
11/11/2025,November,PayU India,SQL Data Analyst,LinkedIn,Hyderabad,Applied,Entry-Level
11/11/2025,November,Emtec,Business Data Analyst,Work India,Pune,Applied,Fresher
10/11/2025,November,KPIT Technologies,Power BI Analyst,Work India,Mumbai,Rejected ,Internship
10/11/2025,November,Hexaware Technologies,Operations Data Analyst,Career Website,Bengaluru,Rejected ,Fresher
10/11/2025,November,Persistent Systems,Python Data Analyst,Work India,Pune,Rejected ,Fresher
7/11/2025,November,Tata Elxsi,Data Analytics Trainee,Career Website,Noida,Applied,Entry-Level
7/11/2025,November,Quess Corp,Data Analytics Executive,Work India,Noida,Applied,Fresher
7/11/2025,November,Zensar Technologies,Tableau Analyst,Work India,Noida,Applied,Fresher
6/11/2025,November,Happiest Minds,Business Intelligence Analyst,Work India,Noida,Rejected ,Internship
6/11/2025,November,EY,Junior BI Analyst,Career Website,Pune,Rejected ,Internship
6/11/2025,November,Veeva Systems India,Marketing Data Analyst,Career Website,Pune,Applied,Entry-Level
5/11/2025,November,Postman India,Analyst,Work India,Pune,Applied,Internship
5/11/2025,November,Tata TCS,Data Analyst,LinkedIn,Pune,Rejected ,Fresher
5/11/2025,November,Dailyhunt,Data Analyst,Career Website,Noida,Rejected ,Entry-Level
4/11/2025,November,BrowserStack,Data Analyst,Career Website,Noida,Rejected ,Fresher
4/11/2025,November,Innovaccer,Analyst,Naukri,Mumbai,Applied,Entry-Level
3/11/2025,November,Uniphore,Analyst,LinkedIn,Bengaluru,Applied,Fresher
3/11/2025,November,Mu Sigma,Software Developer,Indeed,Hyderabad,Applied,Entry-Level
3/11/2025,November,EY,Data Analyst,Work India,Hyderabad,Rejected ,Internship
2/11/2025,November,Zerodha,Data Analyst,LinkedIn,Bengaluru,Rejected ,Fresher
2/11/2025,November,Cure.fit,Analyst,Work India,Noida,Applied,Entry-Level
2/11/2025,November,UpGrad,Software Developer,Naukri,Noida,Applied,Fresher
1/11/2025,November,Lenskart,Data Analyst,LinkedIn,Pune,Applied,Internship
1/11/2025,November,MobiKwik,Junior Data Analyst,Career Website,Pune,Applied,Entry-Level
1/11/2025,November,CarDekho,Business Data Analyst,LinkedIn,Pune,Applied,Fresher
21/11/2025,November,Tavant,Data Analytics Intern,LinkedIn,Pune,Applied,Entry-Level
20/11/2025,November,Highradius,Data Analytics Trainee,LinkedIn,Noida,Applied,Experienced
19/11/2025,November,FusionCharts,SQL Data Analyst,Work India,Mumbai,Rejected ,Fresher
18/11/2025,November,Druva,Software Developer,Work India,Bengaluru,Rejected ,Internship
17/11/2025,November,Innoviti,Data Analyst,Work India,Hyderabad,Rejected ,Entry-Level
14/11/2025,November,Netcore Solutions,Junior Data Analyst,Career Website,Pune,Applied,Fresher
13/11/2025,November,Searce,Business Data Analyst,Indeed,Noida,Applied,Entry-Level
12/11/2025,November,Simplilearn,Data Analytics Intern,LinkedIn,Mumbai,Applied,Fresher
11/11/2025,November,Capillary Technologies,Data Analytics Trainee,Naukri,Mumbai,Rejected ,Internship
